resistance_thumb,bend_thumb,resistance_index,bend_index,resistance_mid,bend_mid,resistance_ring,bend_ring,resistance_little,bend_little,x,y,z,stage
12173.33,13,10560,3,10923,5,13173.6,19,9900,0,37,0,-120,0
11311.04,7,10560,3,11311.04,7,13736.25,22,10219.69,1,37,0,-122,0
10560,3,10560,3,11311.04,7,13173.6,19,10560,3,41,-1,-119,0
10560,3,10219.69,1,11311.04,7,12654.23,15,10560,3,41,2,-121,0
10560,3,10560,3,10923,5,13173.6,19,10923,5,37,-1,-121,0
10219.69,1,10560,3,11726.79,10,14347.83,26,10923,5,38,2,-120,1
9900,0,10923,5,16549.5,39,13736.25,22,10923,5,40,1,-122,1
10219.69,1,10560,3,19528.23,57,13173.6,19,10923,5,38,1,-120,1
10923,5,10923,5,22176,73,18425,50,11726.79,10,38,1,-122,1
15015,30,13173.6,19,30360,122,22176,73,17437.89,44,39,0,-121,2
18425,50,18425,50,37180,163,27802.5,106,22176,73,40,-2,-120,2
23783.57,82,23783.57,82,37180,163,30360,122,25638.46,93,41,0,-118,2
27802.5,106,27802.5,106,47897.14,227,37180,163,27802.5,106,41,-1,-119,2
30360,122,37180,163,47897.14,227,41868.75,191,30360,122,41,2,-118,2
33429,140,41868.75,191,41868.75,191,41868.75,191,30360,122,39,0,-115,2
30360,122,41868.75,191,47897.14,227,41868.75,191,33429,140,41,1,-116,2
33429,140,41868.75,191,47897.14,227,41868.75,191,41868.75,191,40,-1,-116,2
30360,122,41868.75,191,41868.75,191,41868.75,191,37180,163,41,-1,-117,2
30360,122,37180,163,47897.14,227,41868.75,191,41868.75,191,41,1,-118,2
30360,122,47897.14,227,41868.75,191,41868.75,191,47897.14,227,40,0,-116,2
25638.46,93,47897.14,227,41868.75,191,37180,163,47897.14,227,41,-1,-119,2
19528.23,57,41868.75,191,47897.14,227,41868.75,191,47897.14,227,40,0,-118,2
17437.89,44,37180,163,37180,163,41868.75,191,47897.14,227,41,0,-118,2
13173.6,19,27802.5,106,27802.5,106,37180,163,55935,275,39,-1,-116,2
11726.79,10,18425,50,20769.38,64,41868.75,191,41868.75,191,42,-1,-116,1
11311.04,7,14347.83,26,16549.5,39,41868.75,191,55935,275,39,-1,-118,1
10560,3,12173.33,13,13173.6,19,41868.75,191,47897.14,227,41,0,-118,1
10219.69,1,10923,5,12654.23,15,37180,163,47897.14,227,40,2,-117,1
10923,5,10560,3,11311.04,7,41868.75,191,41868.75,191,39,-1,-118,1
10560,3,10923,5,11726.79,10,37180,163,41868.75,191,40,-1,-118,1
10219.69,1,10219.69,1,10560,3,33429,140,30360,122,39,0,-119,0
10219.69,1,9900,0,10560,3,25638.46,93,23783.57,82,39,0,-117,0
10219.69,1,10560,3,10560,3,19528.23,57,15015,30,39,-1,-118,0
10219.69,1,10560,3,10219.69,1,18425,50,12654.23,15,39,-1,-119,0
10923,5,10219.69,1,10923,5,16549.5,39,11311.04,7,40,2,-118,0
10560,3,10560,3,10219.69,1,15745.71,34,10923,5,41,0,-119,0
10923,5,10219.69,1,10560,3,13736.25,22,11726.79,10,39,0,-118,0
10560,3,10560,3,10219.69,1,13173.6,19,11726.79,10,37,0,-119,0
10219.69,1,10923,5,10560,3,13173.6,19,11311.04,7,40,-1,-117,0
10219.69,1,10219.69,1,10923,5,13736.25,22,11311.04,7,41,0,-119,0
10560,3,10560,3,10219.69,1,13173.6,19,10923,5,39,-1,-118,0
